Forecast,Lead Time,CC,RMSE,PBIAS,NSE
NWM,1,0.04155622071730356,8.41788399431463,2126.671377378044,-2342.5094664180006
NWM,2,0.0291065048301769,17.342935115366235,4704.714429787835,-9946.318821179064
NWM,3,0.021713728479939673,29.16680926863233,8270.614081061212,-28133.466383850082
NWM,4,0.017169862559228852,42.57725749942617,12508.24891277665,-59952.729939969635
NWM,5,0.014302307137917088,55.85172018867291,16873.42866176478,-103164.37147698819
NWM,6,0.010559348711045174,67.0227343723509,20785.481448879367,-148560.10577326568
NWM,7,0.008890912956392438,75.85429978411555,23969.220459055057,-190291.3136905154
NWM,8,0.008813409277372865,82.8449668098656,26411.922752591516,-226981.8766614092
NWM,9,0.00905914060744669,87.78709229978293,28139.808894182144,-254871.02418699407
NWM,10,0.009272794487386493,91.08815943656842,29299.930426589446,-274399.3698696401
NWM,11,0.009251529392761002,93.25660282951564,30057.523654200737,-287619.62179637473
NWM,12,0.008714755224722277,94.6394891911144,30539.3139719051,-296213.0228375445
NWM,13,0.008121716759884368,95.50414137733121,30840.277132337367,-301650.3324706856
NWM,14,0.007625022335520697,96.03948665153042,31026.228172719217,-305041.60366950824
NWM,15,0.007218517784426646,96.36977918262762,31140.45066177995,-307143.3755374472
NWM,16,0.006879651705989628,96.57380004490471,31210.336740791787,-308445.2399296371
NWM,17,0.006587611224929877,96.70154067434963,31253.265764376407,-309261.7590114479
NWM,18,0.006329998341044021,96.78192479385488,31279.602573379547,-309776.1282115618
LSTM,1,,,,
LSTM,2,,,,
LSTM,3,,,,
LSTM,4,,,,
LSTM,5,,,,
LSTM,6,,,,
LSTM,7,,,,
LSTM,8,,,,
LSTM,9,,,,
LSTM,10,,,,
LSTM,11,,,,
LSTM,12,,,,
LSTM,13,,,,
LSTM,14,,,,
LSTM,15,,,,
LSTM,16,,,,
LSTM,17,,,,
LSTM,18,,,,
Baseline,1,0.04155622071730356,6.593306479863994,-210.5533190999037,-1436.6970003711933
Baseline,2,0.029106504830176905,12.962117326855207,-653.1103519526772,-5555.646071918691
Baseline,3,0.02171372847993966,21.06090694811775,-1353.2523204276333,-14668.488729639734
Baseline,4,0.017169862559228855,29.766928050521102,-2218.6928670272664,-29303.132855930933
Baseline,5,0.014302307137917088,37.91410955065188,-3114.2905088377875,-47539.37032109268
Baseline,6,0.010559348711045174,44.11093305063474,-3961.6035856509648,-64349.7077261768
Baseline,7,0.008890912956392442,48.70386866503128,-4643.585701996035,-78448.06258651869
Baseline,8,0.008813409277372883,52.488392627610644,-5083.99968796722,-91113.47685523823
Baseline,9,0.009059140607446683,55.13727868552686,-5369.846936551632,-100541.9200753556
Baseline,10,0.00927279448738648,56.879169944383094,-5552.214330927693,-106994.94999340679
Baseline,11,0.009251529392761002,58.03127074728163,-5664.003992649,-111373.30335109361
Baseline,12,0.008714755224722301,58.767896167723876,-5732.148897964329,-114218.729290287
Baseline,13,0.008121716759884358,59.22684314164714,-5770.851610573633,-116009.68973845037
Baseline,14,0.007625022335520693,59.51238389672923,-5795.1699201699075,-117130.99319324443
Baseline,15,0.007218517784426646,59.69024018576503,-5810.343954172627,-117832.15117392215
Baseline,16,0.006879651705989635,59.800782907373524,-5817.287060729713,-118268.99506986831
Baseline,17,0.006587611224929884,59.8733784648974,-5822.881733293893,-118556.31865506225
Baseline,18,0.006329998341044011,59.920300757437886,-5824.850413710875,-118742.21633324862
