,CC,CC,CC,RMSE,RMSE,RMSE,PBIAS,PBIAS,PBIAS,NSE,NSE,NSE
Forecast,Baseline,LSTM,NWM,Baseline,LSTM,NWM,Baseline,LSTM,NWM,Baseline,LSTM,NWM
Lead Time,,,,,,,,,,,,
1,0.04155622071730356,,0.04155622071730356,6.593306479863994,,8.41788399431463,-210.5533190999037,,2126.671377378044,-1436.6970003711933,,-2342.5094664180006
2,0.029106504830176905,,0.0291065048301769,12.962117326855207,,17.342935115366235,-653.1103519526772,,4704.714429787835,-5555.646071918691,,-9946.318821179064
3,0.02171372847993966,,0.021713728479939673,21.06090694811775,,29.16680926863233,-1353.2523204276333,,8270.614081061212,-14668.488729639734,,-28133.466383850082
4,0.017169862559228855,,0.017169862559228852,29.766928050521102,,42.57725749942617,-2218.6928670272664,,12508.24891277665,-29303.132855930933,,-59952.729939969635
5,0.014302307137917088,,0.014302307137917088,37.91410955065188,,55.85172018867291,-3114.2905088377875,,16873.42866176478,-47539.37032109268,,-103164.37147698819
6,0.010559348711045174,,0.010559348711045174,44.11093305063474,,67.0227343723509,-3961.6035856509648,,20785.481448879367,-64349.7077261768,,-148560.10577326568
7,0.008890912956392442,,0.008890912956392438,48.70386866503128,,75.85429978411555,-4643.585701996035,,23969.220459055057,-78448.06258651869,,-190291.3136905154
8,0.008813409277372883,,0.008813409277372865,52.488392627610644,,82.8449668098656,-5083.99968796722,,26411.922752591516,-91113.47685523823,,-226981.8766614092
9,0.009059140607446683,,0.00905914060744669,55.13727868552686,,87.78709229978293,-5369.846936551632,,28139.808894182144,-100541.9200753556,,-254871.02418699407
10,0.00927279448738648,,0.009272794487386493,56.879169944383094,,91.08815943656842,-5552.214330927693,,29299.930426589446,-106994.94999340679,,-274399.3698696401
11,0.009251529392761002,,0.009251529392761002,58.03127074728163,,93.25660282951564,-5664.003992649,,30057.523654200737,-111373.30335109361,,-287619.62179637473
12,0.008714755224722301,,0.008714755224722277,58.767896167723876,,94.6394891911144,-5732.148897964329,,30539.3139719051,-114218.729290287,,-296213.0228375445
13,0.008121716759884358,,0.008121716759884368,59.22684314164714,,95.50414137733121,-5770.851610573633,,30840.277132337367,-116009.68973845037,,-301650.3324706856
14,0.007625022335520693,,0.007625022335520697,59.51238389672923,,96.03948665153042,-5795.1699201699075,,31026.228172719217,-117130.99319324443,,-305041.60366950824
15,0.007218517784426646,,0.007218517784426646,59.69024018576503,,96.36977918262762,-5810.343954172627,,31140.45066177995,-117832.15117392215,,-307143.3755374472
16,0.006879651705989635,,0.006879651705989628,59.800782907373524,,96.57380004490471,-5817.287060729713,,31210.336740791787,-118268.99506986831,,-308445.2399296371
17,0.006587611224929884,,0.006587611224929877,59.8733784648974,,96.70154067434963,-5822.881733293893,,31253.265764376407,-118556.31865506225,,-309261.7590114479
18,0.006329998341044011,,0.006329998341044021,59.920300757437886,,96.78192479385488,-5824.850413710875,,31279.602573379547,-118742.21633324862,,-309776.1282115618
