lead_time,CC_raw,CC_corr,RMSE_raw,RMSE_corr,PBIAS_raw,PBIAS_corr,NSE_raw,NSE_corr
1,0.9468657266410031,0.985384175245658,7.329896570194458,2.9462746846911574,-27.75509190522755,-1.8694125757149958,0.8164506166998307,0.9703446055470472
2,0.9468637875883518,0.9782487725042484,7.33043206904042,3.557447039854403,-27.755858833802023,-1.6090384822651647,0.8164379581586907,0.9567684686205447
3,0.9468582897369475,0.9814723308788558,7.331127117606608,3.294575997957007,-27.75690725856861,-2.2730612018258767,0.8164173084096411,0.9629243056472246
4,0.9468582615255655,0.9764148877605071,7.331568412085967,3.703383421849873,-27.75748300585644,-1.4943325485138181,0.8164093667870683,0.9531559869612498
5,0.9468599433485217,0.9771574459437525,7.331916208988158,3.6525434764038955,-27.757851571917964,-2.3812542678668382,0.8164061069686418,0.954436819406966
6,0.9468558657176994,0.978021163514563,7.332548106620118,3.586762189672944,-27.758771653322476,-2.529056128986019,0.8163886184504984,0.956066589091778
7,0.9468581849570186,0.978998500878942,7.332855674825837,3.515549008053544,-27.759026599611257,-1.2720861198164213,0.8163873719469412,0.9577970717823182
8,0.9468605314166365,0.9901751513747568,7.333222721631547,2.39709785579073,-27.759359467167545,-0.8189891749560839,0.816385436622661,0.9803804564030483
9,0.9468620741057747,0.9918113247392972,7.333636653076508,2.1964171544585245,-27.759800448785004,-1.41666909067655,0.8163811523350162,0.9835294487904928
10,0.9468618156010644,0.9907479829899255,7.334145730446429,2.381466948910464,-27.76043542806961,-2.253897971777375,0.816372102651747,0.9806389588498187
11,0.9468625075334092,0.9874932021477855,7.334606345805785,2.9101583176497874,-27.76098138267247,-3.075943776239929,0.816365478875847,0.9710909420934658
12,0.9468612952423737,0.9898567174531278,7.335162956098534,2.581933879738475,-27.761715170778476,-2.9073587583887663,0.8163540475252249,0.9772462982740524
13,0.946855755693223,0.9898874702282296,7.335916291336994,2.614263215854691,-27.762790901196603,-3.1083070003741113,0.8163327649342965,0.976675003973824
14,0.946847882568887,0.9911558923203991,7.336768153459231,2.3170982968080605,-27.764016054820924,-1.7835717518455108,0.8163065479906833,0.9816779948473765
15,0.9468434048542096,0.9924885673493524,7.3374740011679815,2.1382106792728233,-27.76499418858029,-2.0685829867225407,0.8162876419334549,0.9843992237050143
16,0.9468367958721444,0.9902843829899888,7.3382724253295715,2.4218828767969134,-27.766130174588717,-1.1778549833231062,0.8162640994125734,0.9799869797464333
17,0.9468344401363021,0.991707822170054,7.33888174784728,2.2520460077261384,-27.76693483669089,-1.100294016616268,0.8162500256695316,0.9826969754312089
18,0.9468309379516829,0.9931297237804564,7.339544383829715,2.046280571523064,-27.767845986315137,-0.9012911809282237,0.8162332815955058,0.9857156981308834
