lead_time,CC_raw,CC_corr,RMSE_raw,RMSE_corr,PBIAS_raw,PBIAS_corr,NSE_raw,NSE_corr
1,0.005448729320454917,0.03369104160608851,78.46520566552606,23.637247154160352,23331.430782709896,392.6965927774287,-207516.4848104894,-18830.90491346526
2,0.005450675626381207,0.036244949830366247,78.46486335610209,24.668429341148386,23331.33032871579,488.8570412642581,-207514.1197372584,-20509.785683449165
3,0.005452728430987008,0.03828763934442744,78.46454745001793,26.15822738442464,23331.236801052484,575.1120286525628,-207511.89434913523,-23061.944857534265
4,0.005456502613257656,0.04491782245437842,78.46406097815543,26.789391656840824,23331.03838490502,279.5135753995662,-207508.76681431354,-24188.265549304477
5,0.005458536686875109,0.05482741637341525,78.46365587220613,24.06170424459976,23330.91482383502,346.6701736112413,-207506.06968515922,-19513.10274834551
6,0.005458951859267433,0.05736563421867572,78.46378881410291,23.686249417953718,23331.15933278058,459.730932971927,-207506.2184485201,-18908.81389279852
7,0.005461040149392552,0.049764449935340446,78.46351714386869,24.30071247240579,23331.08153450996,92.53981771041387,-207504.22713430054,-19902.594347571645
8,0.005463218612231531,0.04593221394775446,78.46312632602931,23.08020670709289,23330.973583332798,249.5405819459012,-207501.46484143467,-17953.422107889615
9,0.005465745529586145,0.03218589828645606,78.46271203019772,24.17226172137385,23330.85025770076,470.36607690046543,-207498.57841015598,-19692.60232271856
10,0.0054673763464589175,0.023926247090886022,78.46279125184432,23.29369841069377,23331.037847159776,324.22169153157853,-207498.30228236617,-18286.992280637434
11,0.00546948867496303,0.022139641649464876,78.46242706214862,22.376565552044497,23330.94026304047,159.28292976798485,-207495.6809269265,-16875.19513288388
12,0.005470838827458809,0.031600563895299694,78.46240816367997,10.48170161964134,23331.010449807156,148.05055357848244,-207494.88586814856,-3701.9667176241237
13,0.005472417065568877,0.032947244638718946,78.4623057059029,8.627863506076327,23331.030001517913,10.292916654318875,-207493.6488778566,-2507.9459208692883
14,0.005474919434141028,0.020532823881393235,78.46229334468742,7.5655479747539935,23331.101574551198,245.27566520703795,-207492.8884286683,-1928.141540905236
15,0.0054758835362463286,0.0367436544361254,78.46238920081322,7.380327017155271,23331.277682444575,268.43554187507294,-207492.7003563215,-1834.8325682036505
16,0.0054782750887460195,0.07754813758666844,78.46197485479405,6.306854009929718,23331.157349181114,295.46194903825085,-207489.81385322375,-1339.620822389778
17,0.0054805660784478325,0.060702098569971844,78.461569063022,5.51486643059624,23331.0420205855,528.1063369275471,-207486.9726345072,-1024.059196237622
18,0.005483291330903258,0.06077128223170135,78.4611597024381,5.467205475592405,23330.915786225214,332.38605691690617,-207484.1125818267,-1006.4147091892092
